hanzi,pinyin,english,lesson,category
你,nǐ,You,1,
好,hǎo,Good; like,1,
你好,nǐ hǎo,Hello; good,1
我,wǒ,I,1,
是,shì,to be,1,
呢,ne,Question Particle,1,
学生,xuésheng,student,1,
老师,lǎoshī,Teacher,1,
不,bù,"no, not",1,
高,gāo,high; tall,1,
贵,guì,honorable; expensive,1,
叫,jiào,to call,1,
请,qǐng,please (polite form of request); to treat or to invite (somebody) ,1,
问,wèn,to ask (a question),1,
朋友,péng yǒu,Friend ; someone’s name,1,
王,wáng,a surname; king,1,
李,Lǐ,a surname; plum,1,
姓,xìng,(one’s) surname is.;  to be surnamed,1,
什么,shénme,what,1,question
名字,míngzi,name ,1,
请问,qǐng wèn,"excuse me, may I please ask",1,
你贵姓?,Nǐ guì xìng?,What is your surname?,1,
吗,ma,Question Particle,1,
也,yě,"too, also",1,
很,hěn,Very,1,
谢谢,xiè xie,Thank you,1,
学生,xué sheng,student,1,
美国,Měiguó,America,1,
人,rén,people; person,1,
中国,Zhōngguó,China,1,
不是,bú shì,be not,1,
家,jiā,family; home ,2,
有,yǒu,have ,2,
没有,méiyǒu,not have,2,
几,jǐ,how many; which,2,question
口,kǒu,measure word for number of family members ,2,
个,gè,measure word for many common everyday objects,2,
和,hé,and,2,
爸爸,bàba,father,2,family
妈妈,māma,mother,2,family
姐姐,jiějie,older sister,2,family
妹妹,mèimei,younger sister,2,family
弟弟,dìdi,younger brother,2,family
哥哥,gēge,older brother,2,family
做,zuò,To do,2,
工作,gōngzuò,job; to work,2,
都,dōu,both; all,2,
他,tā,he,2,
她,tā,she,2,
零,líng,zero,2,numbers
一,yī,one,2,numbers
二,èr,two,2,numbers
三,sān,three,2,numbers
四,sì,four,2,numbers
五,wǔ,five,2,numbers
六,liù,six,2,numbers
七,qī,seven,2,numbers
八,bā,eight,2,numbers
九,jiǔ,nine,2,numbers
十,shí,ten,2,numbers
那,nà,that,2,
这,Zhè,this,2,
的,de,a possessive or descriptive particle,2,
照片,zhàopiàn,picture; photo,2,
谁,Shéi,who,2,question
哪,nǎ,which,2,question
哪儿,nǎ er,where,2,
日本,Rìběn,Japan,2,
韩国,Hánguó,Korea,2,
年,nián,year,3,
去年,Qùnián,last year,3,
今年,jīnnián,this year,3,
明年,Míngnián,next year,3,
哪年,nǎ nián,which year,3,
昨天,zuótiān,yesterday,3,
今天,jīntiān,today,3,
明天,míngtiān,tomorrow,3,
上个月,Shàng gè yuè,last month,3,
这个月,Zhège yuè,this month,3,
下个月,Xià gè yuè,Next month,3,
月,yuè,month,3,
号,hào,day of the month,3,
星期,xīngqī,week,3,
天,tiān,day,3,
生,shēng,to give birth to; to be born,3,
日,rì,day; sun,3,
生日,shēngrì,birthday,3,
多,duō,how many/much; many,3,
大,dà,big; old,3,
多大,duō dà,how old,3,question
岁,suì,year (of age),3,
怎么样,zěnmeyàng,Is it O.K.? How is that?,3,
太…了,tài…le,too; extremely,3,
喜欢,xǐhuan,to like,3,
饭,fàn,meal; (cooked)rice,3,
吃,chī,to eat,3,
菜,cài,dish; cuisine,3,
晚饭,Wǎnfàn,dinner,3,
还是,háishì,or (alternative question),3,
请,qǐng,please,3,
我请你吃饭.,Wǒ qǐng nǐ chī fàn.,I invite you to eat a meal.,3,
是吗?,Shì ma?,Really?,3,
星期一,Xīngqí yī,monday,3,
星期二,Xīngqí'èr,tuesday,3,
星期三,Xīngqísān,wednsday,3,
星期四,Xīngqísì,thursday,3,
星期五,Xīngqíwǔ,friday,3,
星期六,Xīngqíliù,saturday,3,
星期日,Xīngqírì,sunday,3,
你多大?,nǐ duō dà? ,How old are you? (General),3,
你几岁?,nǐ jǐ suì? ,How old are you? (for children),3,
忙,Máng,busy,3,
周一,zhōu yī,Monday,4
周二,zhōu èr,Tuesday,4
周三,zhōu sān,Wednesday,4
周四,zhōu sì,Thursday,4
周五,zhōu wǔ,Friday,4
周六,zhōu liù,Saturday,4
周日,zhōu rì,Sunday,4
周末,zhōu mò,weekend,4
爱好,aì hào,hobby,
爱,aì,love; like,4
目mù,eye,4,radicals 
手,shǒu,hand,4,radicals  
木,mù,wood,4,radicals  
山shān,montain,4,radicals
看,kàn,to watch; to look; to read,4
电视,diàn shì,television,4
电影,diàn yǐng,movie,4
电脑,diàn nǎo,computer,4
书,shū,book,4
听,tīng,to listen,4
音乐,yīnyuè,music,4
新闻,xīn wén,news,4
打,dǎ,to play,4
打球,dǎ qiú,to play ball,4
你周末喜欢做什么?,nǐ zhōu mò xǐ huan zuò shén me?,What do you like to do on the weekend?,4
常常,cháng cháng,often,4
有时,yǒu shí,Sometimes,4
那么,nà me,then; in that case,4
去,qù,to go,4
好吗,hǎo ma,Alright(?),4
请客,qǐng kè,to invite someone,4
为什么,Wèishénme,Why,4
因为,Yīn wei,because,4
所以,suǒ yǐ,so,4
小,xiǎo,small; little; young,4
好久,hǎo jiǔ,long time,4
不错,bú cuò,pretty good,4
想,xiǎng,to want to; would like to; to think,4
觉得,jué de,to feel; to think,4
有意思,yǒu yìsi,interesting,4
睡觉,shuì jiào,to sleep,4
别人,bié rén,other people; another person,4
只,zhǐ,only,4
算了,suàn le,forget it; never mind,4
找,zhǎo,to look for,4
上网,shàng wǎng,to use internet,4
聊天儿,liáo tiān er,to chat,4
玩游戏,wán yóu xì,to play a game,4
逛街,guàng jiē,to shop,4
发短信,fā duǎn xìn,to send message,4
呀,ya,interjectory particle used to soften a question,5
进,jìn,to enter,5
快,kuài,fast, quick; quickly,5
进来,jìn lai,to come in,5
来,lái,to come,5
介绍,jièshào,to introduce,5
一下,yí xià,once; a bit ,5
高兴,gāoxìng,happy, pleased,5
漂亮,piào liang pretty,5
坐,zuò,to sit,5
在,zài,at; in; on,5
学校,xué xiào,school,5
喝,hē,to drink,5
点儿,diǎn(er),a little, a bit; some,5
茶,chá,tea,5
咖啡,kā fēi,coffee,5
吧,ba,a sentence-final particle,5
要,yào,to want,5
瓶,píng,measure word; bottle,5
可乐,kě lè,Coke or Pepsi cola,5
可以,kě yǐ,can; may,5
对不起,duì bu qǐ,sorry,5
给,gěi,to give,5
杯,bēi,measure word for cup & glass,5
水,shuǐ,water,5
玩儿,wán(er),to have fun; to play,5
了,le,a dynamic particle; (the occurrence or completion of an action or event),5
图书馆,túshūguǎn,library,5
 一起,yìqǐ,together,5
聊天儿,liáo tiān(er),to chat,5
聊,liáo,to chat,5
才,cái,not until, only then,5 
回家,huí jiā,to go home,5
回,huí,to return,5
